"timestamp","actual_azimuth","actual_elevation","commanded_azimuth","commanded_elevation"
"2024-03-26T02:18:51.000000+00:00","116.364","20.522","116.364","20.522"
"2024-03-26T02:18:52.000000+00:00","116.365","20.522","116.364","20.522"
"2024-03-26T02:18:53.000000+00:00","116.364","20.522","116.364","20.522"
"2024-03-26T02:18:54.000000+00:00","116.364","20.522","116.364","20.522"
"2024-03-26T02:18:55.000000+00:00","116.364","20.522","116.364","20.522"
"2024-03-26T02:18:56.000000+00:00","116.365","20.522","116.364","20.522"
"2024-03-26T02:18:57.000000+00:00","116.365","20.522","116.364","20.522"
"2024-03-26T02:18:58.000000+00:00","116.364","20.522","116.364","20.522"
"2024-03-26T02:18:59.000000+00:00","116.364","20.522","116.364","20.522"
"2024-03-26T02:19:00.000000+00:00","116.364","20.522","116.364","20.522"
"2024-03-26T02:19:01.000000+00:00","116.365","20.522","116.364","20.522"
"2024-03-26T02:19:02.000000+00:00","116.365","20.522","116.364","20.522"
"2024-03-26T02:19:03.000000+00:00","116.364","20.522","116.364","20.522"
"2024-03-26T02:19:04.000000+00:00","116.364","20.522","116.364","20.522"
"2024-03-26T02:19:05.000000+00:00","116.364","20.522","116.364","20.522"
"2024-03-26T02:19:06.000000+00:00","116.365","20.522","116.364","20.522"
"2024-03-26T02:19:07.000000+00:00","116.364","20.522","116.364","20.522"
"2024-03-26T02:19:08.000000+00:00","116.361","20.522","116.364","20.522"
"2024-03-26T02:19:09.000000+00:00","116.361","20.522","116.364","20.522"
"2024-03-26T02:19:10.000000+00:00","116.362","20.522","116.364","20.522"
"2024-03-26T02:19:11.000000+00:00","116.361","20.522","116.364","20.522"
"2024-03-26T02:19:13.000000+00:00","116.361","20.522","116.364","20.522"
"2024-03-26T02:19:14.000000+00:00","116.361","20.522","116.364","20.522"
"2024-03-26T02:19:15.000000+00:00","116.361","20.522","116.364","20.522"
"2024-03-26T02:19:16.000000+00:00","116.362","20.522","116.364","20.522"
"2024-03-26T02:19:17.000000+00:00","116.37","20.522","116.364","20.522"
"2024-03-26T02:19:18.000000+00:00","116.371","20.522","116.364","20.522"
"2024-03-26T02:19:19.000000+00:00","116.371","20.522","116.364","20.522"
"2024-03-26T02:19:20.000000+00:00","116.37","20.522","116.364","20.522"
"2024-03-26T02:19:21.000000+00:00","116.356","20.522","116.364","20.522"
"2024-03-26T02:19:22.000000+00:00","116.356","20.522","116.364","20.522"
"2024-03-26T02:19:23.000000+00:00","116.356","20.522","116.364","20.522"
"2024-03-26T02:19:24.000000+00:00","116.358","20.522","116.364","20.522"
"2024-03-26T02:19:25.000000+00:00","116.373","20.522","116.364","20.522"
"2024-03-26T02:19:26.000000+00:00","116.374","20.522","116.364","20.522"
"2024-03-26T02:19:27.000000+00:00","116.373","20.522","116.364","20.522"
"2024-03-26T02:19:28.000000+00:00","116.354","20.522","116.364","20.522"
