"power","timestamp_float","timestamp_dt","elevation","azimuth"
"-49.64","1707262794.507237","2024-02-06T18:39:54.507237+00:00","",""
"-49.64","1707262794.649306","2024-02-06T18:39:54.649306+00:00","",""
"-49.64","1707262794.788112","2024-02-06T18:39:54.788112+00:00","",""
"-49.64","1707262794.938115","2024-02-06T18:39:54.938115+00:00","",""
"-49.64","1707262795.083419","2024-02-06T18:39:55.083419+00:00","",""
"-49.64","1707262795.230878","2024-02-06T18:39:55.230878+00:00","",""
"-49.64","1707262795.371074","2024-02-06T18:39:55.371074+00:00","",""
"-49.64","1707262795.521324","2024-02-06T18:39:55.521324+00:00","",""
"-49.65","1707262795.66313","2024-02-06T18:39:55.663130+00:00","",""
"-49.66","1707262795.807849","2024-02-06T18:39:55.807849+00:00","",""
"-49.67","1707262795.955308","2024-02-06T18:39:55.955308+00:00","",""
"-49.7","1707262796.099041","2024-02-06T18:39:56.099041+00:00","",""
"-49.73","1707262796.2401","2024-02-06T18:39:56.240100+00:00","",""
"-49.76","1707262796.385723","2024-02-06T18:39:56.385723+00:00","",""
"-49.81","1707262796.525418","2024-02-06T18:39:56.525418+00:00","",""
"-49.86","1707262796.679531","2024-02-06T18:39:56.679531+00:00","",""
"-49.93","1707262796.822518","2024-02-06T18:39:56.822518+00:00","",""
"-50.0","1707262796.962347","2024-02-06T18:39:56.962347+00:00","",""
"-50.07","1707262797.109211","2024-02-06T18:39:57.109211+00:00","",""
"-50.15","1707262797.257665","2024-02-06T18:39:57.257665+00:00","",""
"-50.24","1707262797.402718","2024-02-06T18:39:57.402718+00:00","",""
"-50.33","1707262797.546462","2024-02-06T18:39:57.546462+00:00","",""
"-50.42","1707262797.685048","2024-02-06T18:39:57.685048+00:00","",""
"-50.51","1707262797.837239","2024-02-06T18:39:57.837239+00:00","",""
"-50.61","1707262797.977922","2024-02-06T18:39:57.977922+00:00","",""
"-50.69","1707262798.126903","2024-02-06T18:39:58.126903+00:00","",""
"-50.78","1707262798.27059","2024-02-06T18:39:58.270590+00:00","",""
"-50.85","1707262798.411989","2024-02-06T18:39:58.411989+00:00","",""
"-50.93","1707262798.559573","2024-02-06T18:39:58.559573+00:00","",""
"-50.99","1707262798.700583","2024-02-06T18:39:58.700583+00:00","",""
"-51.05","1707262798.849602","2024-02-06T18:39:58.849602+00:00","",""
"-51.1","1707262798.993626","2024-02-06T18:39:58.993626+00:00","",""
"-51.14","1707262799.133065","2024-02-06T18:39:59.133065+00:00","",""
"-51.18","1707262799.284404","2024-02-06T18:39:59.284404+00:00","",""
"-51.21","1707262799.428699","2024-02-06T18:39:59.428699+00:00","",""
"-51.23","1707262799.567928","2024-02-06T18:39:59.567928+00:00","",""
"-51.25","1707262799.715917","2024-02-06T18:39:59.715917+00:00","",""
"-51.26","1707262799.862785","2024-02-06T18:39:59.862785+00:00","",""
"-51.27","1707262799.99948","2024-02-06T18:39:59.999480+00:00","",""
